@relation amostras_g50_weka

@attribute 1 {0, 1}
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 numeric
@attribute 54 numeric
@attribute 55 numeric
@attribute 56 numeric
@attribute 57 numeric
@attribute 58 numeric
@attribute 59 numeric
@attribute 60 numeric
@attribute 61 numeric
@attribute 62 numeric
@attribute 63 numeric
@attribute 64 numeric
@attribute 65 numeric
@attribute 66 numeric
@attribute 67 numeric
@attribute 68 numeric
@attribute 69 numeric
@attribute 70 numeric
@attribute 71 numeric
@attribute 72 numeric
@attribute 73 numeric
@attribute 74 numeric
@attribute 75 numeric
@attribute 76 numeric
@attribute 77 numeric
@attribute 78 numeric
@attribute 79 numeric
@attribute 80 numeric
@attribute 81 numeric
@attribute 82 numeric
@attribute 83 numeric
@attribute 84 numeric
@attribute 85 numeric
@attribute 86 numeric
@attribute 87 numeric
@attribute 88 numeric
@attribute 89 numeric
@attribute 90 numeric
@attribute 91 numeric
@attribute 92 numeric
@attribute 93 numeric
@attribute 94 numeric
@attribute 95 numeric
@attribute 96 numeric
@attribute 97 numeric
@attribute 98 numeric
@attribute 99 numeric
@attribute 100 numeric
@attribute 101 numeric
@attribute 102 numeric
@attribute 103 numeric
@attribute 104 numeric
@attribute 105 numeric
@attribute 106 numeric
@attribute 107 numeric
@attribute 108 numeric
@attribute 109 numeric
@attribute 110 numeric
@attribute 111 numeric
@attribute 112 numeric
@attribute 113 numeric
@attribute 114 numeric
@attribute 115 numeric
@attribute 116 numeric
@attribute 117 numeric
@attribute 118 numeric
@attribute 119 numeric
@attribute 120 numeric
@attribute 121 numeric
@attribute 122 numeric
@attribute 123 numeric
@attribute 124 numeric
@attribute 125 numeric
@attribute 126 numeric
@attribute 127 numeric
@attribute 128 numeric
@attribute 129 numeric
@attribute 130 numeric
@attribute 131 numeric
@attribute 132 numeric
@attribute 133 numeric
@attribute 134 numeric
@attribute 135 numeric
@attribute 136 numeric
@attribute 137 numeric
@attribute 138 numeric
@attribute 139 numeric
@attribute 140 numeric
@attribute 141 numeric
@attribute 142 numeric
@attribute 143 numeric
@attribute 144 numeric
@attribute 145 numeric
@attribute 146 numeric
@attribute 147 numeric
@attribute 148 numeric
@attribute 149 numeric
@attribute 150 numeric
@attribute 151 numeric
@attribute 152 numeric
@attribute 153 numeric
@attribute 154 numeric
@attribute 155 numeric
@attribute 156 numeric
@attribute 157 numeric
@attribute 158 numeric
@attribute 159 numeric
@attribute 160 numeric
@attribute 161 numeric
@attribute 162 numeric
@attribute 163 numeric
@attribute 164 numeric
@attribute 165 numeric
@attribute 166 numeric
@attribute 167 numeric
@attribute 168 numeric
@attribute 169 numeric
@attribute 170 numeric
@attribute 171 numeric
@attribute 172 numeric
@attribute 173 numeric
@attribute 174 numeric
@attribute 175 numeric
@attribute 176 numeric
@attribute 177 numeric
@attribute 178 numeric
@attribute 179 numeric
@attribute 180 numeric
@attribute 181 numeric
@attribute 182 numeric
@attribute 183 numeric
@attribute 184 numeric
@attribute 185 numeric
@attribute 186 numeric
@attribute 187 numeric
@attribute 188 numeric
@attribute 189 numeric
@attribute 190 numeric
@attribute 191 numeric
@attribute 192 numeric
@attribute 193 numeric
@attribute 194 numeric
@attribute 195 numeric
@attribute 196 numeric
@attribute 197 numeric
@attribute 198 numeric
@attribute 199 numeric
@attribute 200 numeric
@attribute 201 numeric
@attribute 202 numeric
@attribute 203 numeric
@attribute 204 numeric
@attribute 205 numeric
@attribute 206 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 209 numeric
@attribute 210 numeric

@data
0,-1.10519,-0.040571,-0.650852,0.665369,-0.896392,-0.030816,-1.050881,0.770767,0.226739,-0.347452,0.366463,-1.325896,0.792988,0.151486,-1.030035,0.716252,-0.705727,0.18701,0.907825,0.098621,0.03651,-0.39129,-0.572463,0.194151,-0.000195,-0.983257,-0.269119,-0.32475,-0.311597,0.109456,-0.36723,0.498304,0.133026,-0.188775,-0.409774,-0.670537,-0.450746,-0.385216,-0.102921,-0.423737,-0.537107,-0.036044,0.146135,-0.11341,0.629709,-0.389092,0.482216,-0.304685,0.077712,0.500024,0.200838,-0.292283,0.569069,-0.545937,0.630023,0.79681,-0.095934,0.284815,0.04116,-0.5204,-0.073357,-0.902971,0.297302,0.07856,-0.526326,-0.190031,0.198143,0.480491,0.488435,0.040066,-0.151261,-0.49416,0.051071,0.035695,0.075052,-0.948375,-0.340845,-0.433801,-0.25465,-0.585759,-0.502029,0.05902,-0.000695,-0.387388,-0.366141,-0.235246,-0.513508,-0.105058,0.377691,-0.615797,-0.282532,-0.056009,0.063397,0.045828,0.343126,0.026458,0.429581,0.468704,0.283883,0.395629,-0.258413,0.248413,0.953833,-0.869401,0.781287,0.73497,-0.241681,0.703425,-0.402716,0.884439,0.468273,-3.59352,-0.770913,0.706748,-0.385263,-0.623201,-0.586692,-0.004056,0.27517,-0.037474,0.369836,0.023947,1.190276,-0.436384,1.091379,0.031879,0.466741,0.74066,-0.046739,-0.94684,-0.609608,-2.081586,-0.486554,0.04142,0.074488,-0.826947,0.249522,0.915542,0.092391,-0.144735,-1.159066,0.368307,-0.002535,-0.689212,-0.098155,0.6086,-0.781779,0.203672,-0.178694,0.753551,-0.503432,0.056526,0.377695,-0.661691,1.10406,-0.421109,0.35179,-0.62921,-0.100045,0.002742,-0.359172,-3.612381,0.030811,-0.089393,0.017486,-0.492425,-0.848647,1.060483,0.878959,0.881232,-0.532584,-0.29518,0.652709,0.675002,0.292602,-0.938173,-0.375354,0.212967,0.937613,-0.091804,-0.329081,-1.268482,-0.251152,0.32473,-0.008114,-0.392624,-0.042315,1.537046,-0.155775,0.459997,-0.87,0.894942,0.496266,-0.699981,-0.416891,0.205691,-0.900383,0.474355,-0.143058,0.529069,0.436281,0.035899,0.390938,-0.401853,0.514983,-0.933914,-0.360045,0.211996,14.232679
0,0.877397,-0.206208,0.188095,-0.428928,0.504256,0.687663,0.696998,0.472903,-0.398075,-0.354431,0.44702,0.007373,-0.332038,0.213883,0.581274,0.800381,0.166507,0.064152,0.554481,0.494123,0.491322,0.700967,1.229988,-0.052414,-0.197336,-0.086711,0.794717,-0.449538,0.035626,1.202589,-0.592493,-0.249512,0.642084,0.13335,-0.355997,-0.427177,1.092644,0.844796,-0.762935,0.347366,0.032704,-0.072843,-0.609164,1.041459,-0.544732,-0.403785,-0.702054,-0.343896,0.652273,0.22203,-0.454131,0.017331,0.533461,-0.658845,-0.108995,0.008766,-1.184208,-0.898751,-0.199563,0.091656,-0.487949,-0.619899,-0.106499,-0.160494,0.274848,0.935529,0.545282,0.886779,0.735362,-0.298896,0.448683,0.892463,1.196738,-0.453205,-0.552465,-0.716146,0.73646,-1.181625,-0.120858,1.127826,-0.498634,-0.382693,-0.077028,0.055931,-0.096507,-0.303032,0.881288,0.596623,-0.160721,0.275884,-1.127283,-0.818438,-0.378745,0.654676,-0.457129,-0.101525,-0.992478,-0.656012,0.183864,0.3932,-0.179225,0.266054,-0.549461,-0.437574,0.38579,-0.026224,-0.376794,-1.24,0.099796,0.119292,0.460111,-2.070569,-0.462805,-0.152621,-0.169087,-1.412966,-1.324389,0.017817,0.750106,-0.187032,-0.91951,0.5114,-0.989495,0.419305,0.225163,-0.756977,0.165861,0.64543,0.887835,0.746281,-0.55706,-0.517165,0.55598,-0.964811,0.122141,-0.37396,-0.693436,-0.272801,0.310619,0.754152,0.190716,0.595085,-0.426374,-0.039492,0.263596,-0.433732,0.507453,0.627447,-0.128729,-0.091201,0.754445,0.875884,0.669494,0.17842,1.407151,1.055833,0.640282,-0.65676,-0.121656,-0.346774,-0.47441,-2.274866,-0.361503,0.648595,0.293377,0.051261,-0.381114,0.80051,1.480561,0.962447,-0.135407,0.145084,0.807858,-0.799787,0.011118,-1.562415,0.343251,0.247893,0.269077,0.862144,-0.285018,-0.391702,0.519162,0.608308,0.161714,-0.687753,0.961527,1.025536,-0.718221,-0.097151,-0.210786,0.351991,-0.474129,0.297429,0.154469,0.530711,-0.114102,0.413547,-0.086706,-0.043179,-0.481518,0.172058,-0.064348,-0.736859,-0.366758,0.248,-1.168036,-0.062864,18.29942
1,0.877397,-0.206208,0.188095,-0.428928,1.155492,0.410401,1.071819,-0.709858,-0.398075,-0.354431,0.44702,0.007373,-0.332038,0.213883,0.581274,0.800381,0.166507,0.064152,0.554481,0.494123,0.491322,0.700967,1.229988,-0.052414,-0.197336,-0.086711,0.794717,-0.449538,0.035626,1.202589,-0.592493,-0.249512,0.642084,0.13335,-0.355997,-0.427177,1.092644,0.844796,-0.762935,0.347366,0.032704,-0.072843,-0.609164,1.041459,-0.544732,-0.403785,-0.702054,-0.343896,0.652273,0.22203,-0.454131,0.017331,0.533461,-0.658845,-0.108995,0.008766,-1.184208,-0.898751,-0.173271,0.634803,0.624881,-1.244791,0.332756,0.325773,1.150626,0.173702,0.291682,0.693854,0.985501,0.98984,0.270903,-0.108683,1.483352,0.141807,-0.249377,-0.738572,0.713384,-0.621533,-0.02379,1.284108,-0.71972,-0.33498,0.848211,0.226589,-0.409199,-0.605917,0.920526,0.741137,-0.48068,0.28415,0.391634,-0.326617,0.233749,0.532087,0.144644,0.268503,-0.829372,0.014636,0.43352,0.215075,-0.197265,-0.439609,0.148567,-0.289744,-0.069035,0.713156,-0.72072,0.46527,0.099796,0.119292,0.460111,-2.070569,-0.462805,-0.152621,-0.169087,-1.412966,-1.324389,0.017817,0.750106,-0.187032,-0.91951,0.5114,-0.989495,0.419305,0.225163,-0.756977,0.165861,0.64543,0.887835,0.746281,-0.55706,-0.517165,0.55598,-0.964811,0.122141,-0.37396,-0.693436,-0.272801,0.310619,0.754152,0.190716,0.595085,-0.426374,-0.039492,0.263596,-0.433732,0.507453,0.627447,-0.128729,-0.091201,0.754445,0.875884,0.669494,0.17842,1.407151,1.055833,0.640282,-0.65676,-0.121656,-0.346774,-0.47441,-2.274866,-0.361503,0.648595,0.293377,0.051261,-0.381114,0.80051,1.480561,0.962447,-0.135407,0.145084,0.807858,-0.799787,0.011118,-1.562415,0.343251,0.247893,0.269077,0.862144,-0.285018,-0.391702,0.519162,0.608308,0.161714,-0.687753,0.961527,1.025536,-0.718221,-0.097151,-0.210786,0.351991,-0.474129,0.297429,0.154469,0.530711,-0.114102,0.413547,-0.086706,-0.043179,-0.481518,0.172058,-0.064348,-0.736859,-0.366758,0.248,-1.168036,-0.062864,18.317333
0,-0.184347,0.488016,-0.269617,0.067911,-0.537725,1.335914,-0.317706,-0.70689,0.774882,0.009798,0.197167,1.015257,-0.401829,-0.205323,-0.603563,-0.618696,-0.338413,0.748094,0.279255,0.775596,0.131932,0.146711,-0.42397,0.740531,0.291272,0.457997,0.69382,0.193455,0.266573,-0.60696,-0.935867,-0.163006,0.067942,0.107437,-0.119041,0.123208,-0.378531,-0.896964,-0.827244,-0.730055,-0.234272,0.411542,-0.537176,0.361238,-0.07079,-0.346886,0.806686,0.209935,-0.324997,-0.737896,0.040337,0.200297,0.284205,0.294034,0.189059,-0.293734,-0.091223,0.727958,0.119377,-0.412027,0.365522,0.846914,0.029303,0.120392,-0.213,-0.561235,-0.503042,0.6792,0.056951,-0.093196,-0.268281,1.094509,-0.269293,0.632765,0.385034,0.280218,0.639121,0.508469,0.51941,-0.618168,-0.599628,-0.099905,0.0668,0.11032,-0.451572,-0.554231,-0.750659,-0.249946,-0.943114,-0.569298,-0.110745,1.178598,0.197726,0.617551,-0.077578,0.314172,0.185337,0.935242,0.033517,-0.066281,-0.190881,0.839708,1.325998,0.442557,0.309774,-0.571566,0.05706,1.13779,0.401001,-0.341812,0.191383,-2.129629,-0.897987,0.405066,0.657406,0.739112,0.438897,-0.225789,1.513299,1.490057,-0.13463,-0.212415,0.943325,-0.70672,1.056834,-0.379509,0.474247,-0.12019,0.85647,1.477593,-0.234303,-0.932479,1.00869,0.349549,0.775079,-0.526869,1.278872,1.067961,-1.050688,0.116336,0.428202,0.840368,-0.944757,0.340595,-0.453971,-0.393453,-0.54627,-0.263568,0.296512,-1.212525,-0.579682,0.417282,-0.328388,-0.396584,-0.48046,0.545553,-1.383998,0.036534,-0.259621,-0.499842,0.403298,-2.688038,-1.312441,-0.09306,-0.515889,-0.374883,-0.997796,1.113425,0.620679,0.381721,-0.419136,1.458389,0.32584,0.312959,-0.333043,0.36765,1.105988,1.050117,1.736416,0.28346,-0.810588,-1.684269,-0.403829,0.949467,-0.19918,-0.337492,0.243332,0.943979,-1.040338,-0.790924,-0.593582,1.014335,0.544419,0.303205,-0.287197,-0.086094,-1.800282,0.880541,-0.080227,-0.138559,-0.48228,0.188439,1.958352,0.438437,0.991343,-2.87899,-0.155798,0.941151,17.112415
1,-1.172431,0.86066,-0.430008,1.103643,-1.196297,1.763944,0.185517,-0.657162,0.387648,-0.594638,-0.379035,-1.014785,0.14636,0.028481,-0.462398,-0.272594,0.127634,0.173715,0.335533,-0.008764,-0.569801,-0.568919,0.540776,0.818813,-0.050679,-1.121091,-0.565151,0.343236,-0.531486,-0.96703,0.007178,-0.13408,-0.068069,-0.104601,-0.450017,-0.022801,-0.142134,0.09106,-0.205948,0.41309,-0.97431,0.362243,-0.213834,-0.911485,0.846076,0.553882,-0.07569,0.046304,-0.086622,0.623354,0.251567,0.753986,-0.458319,-0.28125,0.593869,-0.784179,-0.418821,0.436892,0.339466,-0.185832,-0.257214,-1.423146,0.1266,0.128375,-0.315158,-0.660817,0.392291,0.37286,0.362138,0.187248,-0.228939,-0.76768,0.613358,0.647463,0.171049,-0.57447,-1.116883,0.625361,-0.637381,-1.066492,0.102143,-0.497533,-0.397691,-0.358205,0.072072,-0.343845,-0.477675,1.024008,-0.121067,0.465617,-0.877888,0.75281,-0.031708,-0.85394,0.68138,0.589225,-0.217781,0.438687,0.259595,0.676791,0.03713,0.654291,-0.628261,-0.098894,0.478183,-0.810865,0.215884,-0.233342,-0.065088,-0.632935,0.032297,-1.184076,-0.104399,-0.515825,-0.41461,-1.034075,0.51225,-0.048783,0.21651,-0.011078,-0.390288,0.010582,0.285611,0.190803,0.100136,-0.565443,0.080783,0.148813,0.095322,-1.161668,-0.101508,-0.736972,-0.099835,-0.413225,-0.263949,-0.352339,-0.296041,1.570871,0.290001,0.505451,-0.53892,0.174736,-0.039422,-1.068577,-0.05815,0.636938,-0.709025,0.615858,0.201186,0.728109,-0.046089,0.699253,-0.153884,0.136726,1.302573,-0.606397,0.175556,0.561071,-0.05334,-0.372373,-0.886541,-2.709324,-0.198437,0.110083,-0.307594,-0.060477,-0.551217,0.599123,0.068441,0.135576,-0.277373,-0.149734,0.157942,0.226376,-0.02543,-0.345041,0.091942,1.037811,1.066496,0.433592,-0.198004,-0.494671,-0.173338,-0.619583,0.294939,-0.530663,0.070739,1.680328,0.108023,0.901248,-0.455325,0.669136,0.174227,-0.998,-0.130984,-0.337792,-0.837159,-0.119588,0.022742,-0.077243,-0.336295,0.524665,0.239239,-0.458277,0.63611,-0.294953,-0.323119,-0.565388,12.185066
0,-1.172431,0.86066,-0.430008,1.103643,-1.181336,1.322138,-0.408274,-1.469081,0.387648,-0.594638,-0.379035,-1.014785,0.14636,0.028481,-0.462398,-0.272594,0.127634,0.173715,0.335533,-0.008764,-0.569801,-0.568919,0.540776,0.818813,-0.050679,-1.121091,-0.565151,0.343236,-0.531486,-0.96703,0.007178,-0.13408,-0.068069,-0.104601,-0.450017,-0.022801,-0.142134,0.09106,-0.205948,0.41309,-0.97431,0.362243,-0.213834,-0.911485,0.846076,0.553882,-0.07569,0.046304,-0.086622,0.623354,0.251567,0.753986,-0.458319,-0.28125,0.593869,-0.784179,-0.418821,0.436892,0.302478,-0.360553,0.261149,-0.806407,0.208964,0.724581,-0.828454,-0.285424,-0.215695,0.898987,0.755186,0.284709,0.169721,-0.362471,0.47315,0.894191,0.148096,-0.741693,-0.398578,0.337998,-0.158416,-0.680654,-0.674327,-0.355682,-0.384528,-0.247122,-0.78202,-0.327039,-0.583318,0.129817,-0.118067,0.57156,-0.562048,0.498455,0.047118,-0.131234,0.328564,-0.066517,-0.122709,0.118713,-0.254749,-0.179637,1.044819,0.470574,0.139966,-0.075955,0.623134,-0.854611,0.081491,-0.470926,-0.065088,-0.632935,0.032297,-1.184076,-0.104399,-0.515825,-0.41461,-1.034075,0.51225,-0.048783,0.21651,-0.011078,-0.390288,0.010582,0.285611,0.190803,0.100136,-0.565443,0.080783,0.148813,0.095322,-1.161668,-0.101508,-0.736972,-0.099835,-0.413225,-0.263949,-0.352339,-0.296041,1.570871,0.290001,0.505451,-0.53892,0.174736,-0.039422,-1.068577,-0.05815,0.636938,-0.709025,0.615858,0.201186,0.728109,-0.046089,0.699253,-0.153884,0.136726,1.302573,-0.606397,0.175556,0.561071,-0.05334,-0.372373,-0.886541,-2.709324,-0.198437,0.110083,-0.307594,-0.060477,-0.551217,0.599123,0.068441,0.135576,-0.277373,-0.149734,0.157942,0.226376,-0.02543,-0.345041,0.091942,1.037811,1.066496,0.433592,-0.198004,-0.494671,-0.173338,-0.619583,0.294939,-0.530663,0.070739,1.680328,0.108023,0.901248,-0.455325,0.669136,0.174227,-0.998,-0.130984,-0.337792,-0.837159,-0.119588,0.022742,-0.077243,-0.336295,0.524665,0.239239,-0.458277,0.63611,-0.294953,-0.323119,-0.565388,16.516363
0,-1.144981,1.400074,-0.097546,-0.305387,-1.282134,2.186882,-0.173857,-1.380455,-0.552693,-0.426106,0.4195,-0.890806,0.335946,0.288045,0.197637,-0.444164,0.231552,0.338289,0.400962,-0.911866,-0.363784,-0.272471,0.021851,-0.026427,0.644687,-0.391016,0.238819,-0.159482,-0.000078,-0.189684,0.088269,-0.272958,-0.136181,-0.330262,-0.738961,-0.026455,-0.439361,0.17715,0.27773,0.37786,0.135888,0.024618,-0.0523,-0.033505,0.682099,-0.334748,0.670314,-0.338297,-0.064011,0.114113,-0.139278,0.824132,-0.379832,0.189883,0.918186,0.052103,0.162131,0.05438,-0.190806,-1.12938,0.421321,-1.314988,0.226542,0.259492,0.560667,-0.793588,0.789435,-0.396175,0.320951,-0.240517,-0.437236,0.459173,0.406781,0.686575,0.413524,-0.297108,0.810182,-0.1043,-0.84412,-0.005104,-0.511042,-0.548536,-0.025048,-1.012511,-0.01324,-0.683961,-0.619166,0.51673,-0.307909,0.676531,-0.241082,0.288162,0.255916,-0.151932,0.801638,-0.585277,0.336597,-0.238009,0.100992,0.905828,-0.696602,0.305303,-0.069326,0.225355,1.417471,1.019459,0.347234,0.412265,-0.420077,-1.270965,-1.036523,-1.051352,-0.045137,0.228979,-1.122271,-0.147779,0.477886,-0.193731,0.510095,-0.594234,0.767632,-1.406074,-0.239709,0.988816,1.029777,0.928405,0.440377,0.558114,-0.750092,-0.958599,0.831207,-0.071711,-1.245439,-0.13345,0.448279,-0.0625,-0.857257,0.335701,0.002263,0.231806,0.370204,-0.513002,0.014798,0.379936,-0.066172,0.131146,-0.096843,-0.681979,0.395317,-0.047564,0.646718,-0.156724,-0.31796,0.05766,0.740665,-1.226427,-0.21665,0.374683,0.24713,-0.246673,-0.792594,-1.95018,-0.402924,0.59739,-0.065261,-0.778891,0.554169,0.816275,0.527374,-0.532278,0.723693,-0.306003,-0.649053,1.227634,-0.020066,0.869681,-0.297227,-0.127572,-1.181199,-0.796286,0.116162,0.398243,-0.093433,0.366006,-0.549471,-0.087006,0.52933,1.337972,0.868584,0.278656,0.379534,-0.859607,0.269683,0.996862,-0.056404,0.333049,1.323829,0.565111,0.392281,-0.196602,-0.367021,-0.347707,-0.009,-0.627656,0.310199,-0.628073,0.294899,-0.544679,18.983449
0,-1.563473,-0.907732,-0.821547,0.814574,-1.224781,0.277392,-0.616221,-0.014544,-0.552539,-0.35791,-0.693317,0.086776,0.974135,0.016491,-0.401701,0.75629,0.093017,-0.083997,0.012287,0.843294,-0.000342,-0.374039,0.106346,-0.412823,-0.485246,-1.052936,-0.574114,-0.198259,-0.252208,0.172898,0.219662,0.360893,0.68981,1.058682,0.120597,-0.534842,-0.810365,0.461333,-0.377754,-0.003655,0.560444,-0.363203,-0.467664,-0.136255,0.386473,0.267774,0.546282,0.340218,0.513815,0.072752,0.742855,0.219863,-0.417336,-1.135219,-0.155639,-0.115966,-0.773646,-0.185171,-0.23204,-0.371972,-0.519345,-0.59979,0.869895,0.906457,-0.335613,0.446121,0.299792,-0.256903,-0.164402,0.523963,0.391309,0.062539,-0.442744,0.085725,0.426324,-0.976183,-0.299209,-0.287156,-0.052852,-0.409602,-0.279468,-0.085625,0.549047,0.907543,0.096027,-0.427823,-1.552244,0.550774,-0.112716,0.303245,0.501959,-0.113442,-0.716269,-0.549887,0.340858,0.03431,0.490974,0.633827,0.641962,0.195532,0.321183,-0.296123,-0.402886,-1.661048,0.292154,0.060494,-0.230094,-0.597867,-0.999515,0.037773,-0.76735,-1.68581,0.303234,0.444475,-0.921614,0.58087,-0.815599,0.673149,0.347274,0.698769,0.235872,-0.613705,0.384482,-0.777374,-1.403393,-0.775168,-0.516998,-1.183696,0.786281,0.656437,0.773414,-1.171955,0.463646,0.313308,0.436008,-0.356029,-0.977523,1.558192,-0.004772,0.3333,0.518209,-0.123849,0.157598,-0.026284,0.729656,0.004097,0.100971,-0.274011,1.000393,-0.166065,1.056791,0.727356,0.475351,-0.599867,0.953293,-0.029009,-0.891918,0.125475,0.08341,-0.468412,-0.01891,-3.742563,0.050182,0.537741,-0.361635,-0.624689,0.04361,0.289893,0.338856,0.136504,-0.52845,0.239029,0.004338,-0.517012,0.63993,-0.785228,-0.290803,0.720998,0.921151,-0.331866,0.042154,-0.446578,-0.382227,-0.457587,0.538816,-0.356977,0.4026,0.781604,-0.263792,-0.028026,0.510241,0.17165,0.166925,-0.405803,0.057658,0.024927,-0.911824,0.338997,-0.174676,-0.074308,-0.135424,-0.033487,0.669612,-0.298394,1.134303,0.914303,-0.279361,0.212682,15.131352
0,-2.66808,0.760966,-2.559569,0.603513,-1.515867,2.030143,-1.78432,-0.135766,-0.150138,-0.100392,-0.802923,-0.08041,-0.540441,-0.343974,-0.179797,0.588589,0.053801,0.678893,0.900546,-0.419308,-0.477123,0.073974,0.160381,-0.260423,-0.502483,-0.631944,-0.128512,0.015781,0.13971,-0.590295,0.297933,1.077743,-0.694965,-0.548547,0.397965,-0.056273,-0.268918,0.529077,-0.23416,-0.467286,-1.067238,1.139739,-0.237269,1.436139,-0.745216,0.587186,-0.299727,-0.058706,0.331499,0.160104,0.369278,0.787063,0.79674,0.106709,0.40717,-0.081282,-0.441069,0.249453,0.056234,-0.230508,-0.695545,-1.180785,-1.188473,-0.697732,-0.593242,-0.347784,0.098886,0.622858,0.893531,0.334562,-0.56061,0.022684,-0.276828,-0.094902,-1.198825,-0.387057,-0.294647,0.492551,1.018169,0.489813,-0.07181,0.14357,0.022331,0.150934,1.069964,0.258405,0.618874,1.262427,-0.628355,0.05377,-0.895436,1.590203,0.293962,0.919957,-0.205396,-0.094864,-0.928391,0.423517,0.107625,0.650727,-0.23539,1.020225,1.030458,-0.398379,0.03413,-0.623173,-0.541109,0.356655,0.12445,-1.074998,-0.213048,-2.527618,-1.197534,0.562557,-0.468615,1.168688,-0.314541,0.138241,0.879554,0.250346,-0.198059,0.309137,1.134115,-0.377976,-1.251235,-0.010794,0.408769,0.540231,1.249182,0.963754,-0.260032,-0.351253,-0.539754,-0.11527,0.914087,-0.833262,0.577709,0.897042,-0.713016,-0.574907,-0.589654,1.026963,1.054111,0.575124,-0.504093,0.17071,-0.74531,0.445029,-0.243121,0.133976,0.122395,0.116575,1.180103,-0.20441,0.293575,-1.367073,-1.702982,-0.23437,-0.300254,0.73106,-0.230085,0.891527,-0.224297,-0.482041,-0.388318,0.186017,-0.231179,0.848237,0.184883,0.740652,0.122273,0.325017,-0.569413,0.315285,0.179623,-0.318779,0.290733,0.076713,0.429371,-0.303945,-0.521387,-0.439665,-0.050055,0.275218,-0.083252,0.244766,-0.329197,-0.273559,-0.3334,-0.30016,-0.440287,0.815284,0.061363,0.504104,-0.132719,-0.105142,0.341636,-0.548064,-0.351742,-0.112352,0.374135,0.731379,0.519931,0.970213,-0.072532,-0.041182,0.244593,0.912942,22.697567
1,-2.66808,0.760966,-2.559569,0.603513,-1.432108,0.530416,-1.480694,0.287477,-0.150138,-0.100392,-0.802923,-0.08041,-0.540441,-0.343974,-0.179797,0.588589,0.053801,0.678893,0.900546,-0.419308,-0.477123,0.073974,0.160381,-0.260423,-0.502483,-0.631944,-0.128512,0.015781,0.13971,-0.590295,0.297933,1.077743,-0.694965,-0.548547,0.397965,-0.056273,-0.268918,0.529077,-0.23416,-0.467286,-1.067238,1.139739,-0.237269,1.436139,-0.745216,0.587186,-0.299727,-0.058706,0.331499,0.160104,0.369278,0.787063,0.79674,0.106709,0.40717,-0.081282,-0.441069,0.249453,-0.612926,-0.794667,-0.146099,-0.117756,-0.272844,-0.113383,-0.470437,0.089517,-0.660961,0.263126,0.481592,-0.111918,0.066721,1.164467,0.202558,-0.608208,-1.425385,0.595411,0.155094,0.630887,0.184456,-0.382795,-0.054224,0.580015,-0.355582,-0.80763,0.125583,-0.676422,-0.670879,-0.523327,-0.080228,-0.35736,-0.912741,0.673236,-0.068364,1.248669,-1.012295,0.069756,0.259933,0.246372,0.168529,0.47189,0.190331,0.55681,1.622822,0.30433,0.398878,-1.127442,-0.731315,0.158045,0.12445,-1.074998,-0.213048,-2.527618,-1.197534,0.562557,-0.468615,1.168688,-0.314541,0.138241,0.879554,0.250346,-0.198059,0.309137,1.134115,-0.377976,-1.251235,-0.010794,0.408769,0.540231,1.249182,0.963754,-0.260032,-0.351253,-0.539754,-0.11527,0.914087,-0.833262,0.577709,0.897042,-0.713016,-0.574907,-0.589654,1.026963,1.054111,0.575124,-0.504093,0.17071,-0.74531,0.445029,-0.243121,0.133976,0.122395,0.116575,1.180103,-0.20441,0.293575,-1.367073,-1.702982,-0.23437,-0.300254,0.73106,-0.230085,0.891527,-0.224297,-0.482041,-0.388318,0.186017,-0.231179,0.848237,0.184883,0.740652,0.122273,0.325017,-0.569413,0.315285,0.179623,-0.318779,0.290733,0.076713,0.429371,-0.303945,-0.521387,-0.439665,-0.050055,0.275218,-0.083252,0.244766,-0.329197,-0.273559,-0.3334,-0.30016,-0.440287,0.815284,0.061363,0.504104,-0.132719,-0.105142,0.341636,-0.548064,-0.351742,-0.112352,0.374135,0.731379,0.519931,0.970213,-0.072532,-0.041182,0.244593,0.912942,20.351012
